seq_index,condition,status,n_failed_attempts,failed_participants,exclusion_reasons,sequence
135,hop,excluded,1,69f2bc4e622bc46f7453469a,not_completed,hom_NE_RI_2;hom_NE_NH_3;hom_NE_VT_4;hom_NE_NY_1;hom_SO_NC_2;hom_WE_UT_2;hom_WE_OR_3;hom_MW_OH_3;hom_WE_HI_4;hom_WE_NM_1;hom_SO_SC_4;hom_MW_ND_4;hom_WE_WA_4;hom_MW_MI_1;hom_SO_VA_1;hom_MW_MN_2;hom_SO_KY_3
136,threshold-pixel,excluded,1,5f888f1504ea37030833e9ec,not_completed,tpix_SO_MS_1;tpix_NE_VT_1;tpix_MW_MI_4;tpix_MW_KS_1;tpix_SO_KY_4;tpix_WE_HI_4;tpix_NE_NJ_4;tpix_SO_AL_3;tpix_WE_MT_1;tpix_NE_ME_2;tpix_MW_MO_3;tpix_NE_NY_3;tpix_WE_NM_2;tpix_WE_CO_4;tpix_MW_OH_2;tpix_WE_CA_3;tpix_SO_MD_2
137,animated-pixel,excluded,2,69a3ae289917a9a986ef6f29;6a0b6ce480c9cee5dff976df,not_completed,anim_WE_OR_4;anim_MW_NE_4;anim_SO_KY_4;anim_NE_ME_1;anim_SO_MD_2;anim_MW_IN_2;anim_WE_NV_1;anim_NE_RI_4;anim_SO_AL_3;anim_MW_IL_1;anim_WE_CA_2;anim_WE_UT_3;anim_WE_HI_4;anim_MW_MI_3;anim_NE_MA_2;anim_SO_MS_1;anim_NE_NJ_3
138,hop,excluded,1,5753046ba6deb50006d64b0f,not_completed,hom_WE_HI_4;hom_WE_ID_2;hom_WE_UT_4;hom_MW_ND_3;hom_SO_OK_3;hom_SO_MS_2;hom_NE_CT_4;hom_NE_NJ_2;hom_SO_TX_4;hom_NE_PA_3;hom_SO_SC_1;hom_MW_WI_2;hom_WE_WA_3;hom_WE_CO_1;hom_NE_NH_1;hom_MW_OH_1;hom_MW_IL_4
139,animated-pixel,excluded,1,6a164194f8c4ea787fbe39a2,not_completed,anim_WE_MT_4;anim_MW_WI_1;anim_SO_TX_4;anim_NE_MA_3;anim_NE_PA_4;anim_SO_OK_3;anim_NE_NY_2;anim_WE_NV_2;anim_SO_SC_1;anim_NE_NJ_1;anim_WE_HI_4;anim_WE_ID_1;anim_MW_SD_4;anim_WE_WY_3;anim_MW_MO_2;anim_SO_MS_2;anim_MW_IL_3
140,animated-pixel,excluded,1,6a122a5bce5ec1225ee62078,manual_exclusion (chrome130 led to a mismatch when participant refreshed),anim_MW_MI_1;anim_NE_PA_2;anim_NE_RI_3;anim_WE_AZ_3;anim_WE_WY_2;anim_WE_WA_1;anim_MW_OH_3;anim_SO_LA_1;anim_NE_CT_1;anim_SO_AR_4;anim_WE_HI_4;anim_SO_OK_2;anim_MW_MN_2;anim_SO_MS_3;anim_WE_CA_4;anim_NE_NY_4;anim_MW_ND_4
141,sorted-pixel,excluded,1,6142583049e8aba35814f68a,not_completed,spix_NE_NJ_2;spix_NE_CT_4;spix_MW_KS_2;spix_MW_SD_3;spix_WE_NM_4;spix_MW_OH_4;spix_SO_WV_2;spix_WE_ID_3;spix_SO_AR_3;spix_NE_NH_1;spix_SO_GA_1;spix_WE_HI_4;spix_SO_NC_4;spix_WE_WA_2;spix_MW_IN_1;spix_WE_AZ_1;spix_NE_PA_3
142,animated-pixel,excluded,2,6a0516eb6b8a9b19c4df58be;6a0e0727f7409a2956d6ab35,not_completed,anim_NE_RI_4;anim_WE_HI_4;anim_MW_IL_4;anim_WE_UT_1;anim_WE_NV_3;anim_NE_ME_1;anim_MW_WI_2;anim_WE_MT_2;anim_MW_ND_3;anim_SO_AL_4;anim_NE_MA_2;anim_NE_NJ_3;anim_SO_LA_2;anim_WE_AZ_4;anim_MW_OH_1;anim_SO_GA_3;anim_SO_NC_1
143,threshold-pixel-sorted,excluded,1,69ea7bcb05bbf8f83bdaf39b,not_completed,tpxs_MW_NE_2;tpxs_WE_OR_1;tpxs_SO_FL_4;tpxs_WE_HI_4;tpxs_SO_MD_1;tpxs_NE_NJ_3;tpxs_SO_TX_2;tpxs_NE_RI_4;tpxs_NE_MA_2;tpxs_WE_CO_2;tpxs_SO_NC_3;tpxs_MW_MN_4;tpxs_NE_ME_1;tpxs_MW_SD_1;tpxs_MW_WI_3;tpxs_WE_WY_4;tpxs_WE_NM_3
145,sorted-pixel,excluded,1,66a426bcd6c66d59e395617b,not_completed,spix_NE_NJ_1;spix_NE_NY_2;spix_NE_PA_4;spix_WE_HI_4;spix_SO_KY_1;spix_WE_AZ_1;spix_SO_WV_3;spix_SO_MD_4;spix_WE_ID_3;spix_WE_NM_4;spix_MW_WI_2;spix_WE_WA_2;spix_SO_TN_2;spix_NE_MA_3;spix_MW_ND_3;spix_MW_IL_4;spix_MW_OH_1
146,threshold-pixel-sorted,excluded,1,62896076149e8f156545884c,not_completed,tpxs_NE_ME_1;tpxs_WE_CA_2;tpxs_SO_LA_2;tpxs_WE_HI_4;tpxs_SO_NC_1;tpxs_WE_UT_3;tpxs_SO_AL_4;tpxs_WE_NV_1;tpxs_MW_MN_4;tpxs_SO_GA_3;tpxs_MW_NE_2;tpxs_NE_NJ_3;tpxs_WE_OR_4;tpxs_NE_RI_4;tpxs_MW_SD_1;tpxs_MW_WI_3;tpxs_NE_MA_2
