state,fips,county,moe
VA,51153,Prince William,1.2
VA,51155,Pulaski,5.4
VA,51157,Rappahannock,8.8
VA,51159,Richmond,3.2
VA,51161,Roanoke,2.3
VA,51163,Rockbridge,7.0
VA,51165,Rockingham,2.4
VA,51167,Russell,5.9
VA,51169,Scott,5.7
VA,51171,Shenandoah,5.1
VA,51173,Smyth,6.9
VA,51175,Southampton,4.4
VA,51177,Spotsylvania,2.4
VA,51179,Stafford,1.6
VA,51181,Surry,10.5
VA,51183,Sussex,9.4
VA,51185,Tazewell,5.2
VA,51187,Warren,5.1
VA,51191,Washington,3.1
VA,51193,Westmoreland,7.9
VA,51195,Wise,6.1
VA,51197,Wythe,6.9
VA,51199,York,1.7
VA,51510,Alexandria,2.9
VA,51520,Bristol,8.1
VA,51530,Buena Vista,16.8
VA,51540,Charlottesville,5.6
VA,51550,Chesapeake,1.8
VA,51570,Colonial Heights,6.0
VA,51580,Covington,13.7
VA,51590,Danville,7.0
VA,51595,Emporia,13.5
VA,51600,Fairfax,4.4
VA,51610,Falls Church,1.2
VA,51620,Franklin,11.3
VA,51630,Fredericksburg,9.1
VA,51640,Galax,11.1
VA,51650,Hampton,3.4
VA,51660,Harrisonburg,4.9
VA,51670,Hopewell,7.3
VA,51678,Lexington,13.6
VA,51680,Lynchburg,4.1
VA,51683,Manassas,2.9
VA,51685,Manassas Park,6.9
VA,51690,Martinsville,9.2
VA,51700,Newport News,2.8
VA,51710,Norfolk,2.7
VA,51720,Norton,21.7
VA,51730,Petersburg,8.7
VA,51735,Poquoson,5.1
VA,51740,Portsmouth,4.3
VA,51750,Radford,7.6
VA,51760,Richmond,3.7
VA,51770,Roanoke,4.5
VA,51775,Salem,5.9
VA,51790,Staunton,3.8
VA,51800,Suffolk,3.0
VA,51810,Virginia Beach,1.4
VA,51820,Waynesboro,6.4
VA,51830,Williamsburg,7.1
VA,51840,Winchester,5.7
